Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Madhuvan Chinese Fast Food,2,2.6,84,42.0,1,1,300.0
Madras Coffee House,2,1.5,5,2.0,2,1,200.0
Madras Dosa & Chinese,2,1.35,91,46.0,1,1,500.0
Maggi Point,2,0.0,2,1.0,2,1,275.0
Magic Masala,2,1.5,12,6.0,1,1,450.0
Mahi Rasoi,2,1.3,34,17.0,2,1,450.0
Drifters Cafe,2,4.0,248,124.0,1,1,400.0
Drool Waffles,2,3.65,237,118.0,1,1,500.0
Druk,2,3.45,75,38.0,1,1,700.0
Dunkin Donuts,2,4.0,188,94.0,2,1,550.0
D�_vero��lu,2,4.3,283,142.0,1,1,70.0
EDC Mania,2,1.65,41,20.0,1,1,150.0
Effingut Brewerkz,2,4.3,1906,953.0,1,1,1900.0
Eggers Madhouse,2,3.85,698,349.0,1,1,500.0
Dev Food,2,0.0,0,0.0,1,1,300.0
Dezertfox,2,3.9,181,90.0,1,1,550.0
Dilli BC,2,4.25,351,176.0,1,1,700.0
Dilli Light,2,1.3,16,8.0,1,1,600.0
Dilli Rasoi,2,1.6,31,16.0,1,1,450.0
Din Tai Fung,2,4.35,997,498.0,2,2,580.0
Dishoom,2,4.6,1269,634.0,1,1,45.0
Dosa Plaza,2,1.6,15,8.0,1,1,300.0
New Punjabi Khana,2,3.5,112,56.0,1,1,200.0
New Town Cafe - Park Plaza,2,3.9,404,202.0,2,1,2500.0
New Zaika,2,2.75,45,22.0,2,1,650.0
Chinese Fast Food,2,0.0,0,0.0,2,1,225.0
Chinese Hot,2,0.0,1,0.0,2,1,250.0
Chinese King,2,2.5,77,38.0,1,1,425.0
Choco Kraft,2,1.6,14,7.0,1,1,300.0
Chokola,2,3.45,397,198.0,2,1,700.0
Mysore Cafe,2,3.6,291,146.0,2,1,225.0
Nagpal's,2,3.45,166,83.0,1,1,200.0
Nanking,2,3.65,569,284.0,2,1,1025.0
Natural Ice Cream,2,4.5,732,366.0,1,1,150.0
Naturals Ice Cream,2,4.8,3094,1547.0,1,1,150.0
Nawabi Mughlai Zaika,2,3.25,53,26.0,1,1,575.0
Nazeer Delicacies,2,3.3,184,92.0,1,1,775.0
New Kadimi,2,2.9,252,126.0,1,1,700.0
Moon Bite,2,3.2,190,95.0,2,1,300.0
Mother's Kitchen,2,1.45,6,3.0,2,1,200.0
Moti Mahal Delux- Legendary Culinary,2,3.6,249,124.0,2,1,1200.0
Mr. Baker's,2,1.5,23,12.0,1,1,175.0
Mr. Momo,2,1.35,19,10.0,1,1,350.0
